Record_ID,Author(s),Year,Title,Journal / Conference,"Database (PubMed, MEDLINE, Scopus, WoS, etc.)",DOI / PMID,Country / Region of Study,"Medical Specialty (e.g., Obstetrics, Oncology, Cardiology)",Domains,"Type of Fuzzy Logic Used (FL, T2FL, IFS, PFS, HFS, etc.)","Hybrid Methods (ML, DL, MCDM, Optimization, etc.)","Evaluation Metrics (Accuracy, AUC, RMSE, etc.)",Summary of the study,Results based on Evaluation metrics,Key Results / Findings,Challenges / Limitations,Future Research Directions,Identified Research Gap Type
1,Piotrowski et al.,2023,Factors facilitating the implementation of a clinical decision support system in primary care practices: a fuzzy set qualitative comparative analysis,BMC Health Services Research,PubMed,10.1186/s12913-023-10156-9,Germany,Primary Care / Polypharmacy,General Health,fsQCA (Fuzzy-set QCA),Practice Change & Development (PCD) model; Implementation science,Consistency; Coverage,Study identifies combinations of internal and external factors enabling CDSS implementation in primary care using QCA.,Consistency: 0.85; Coverage: 0.54,Two distinct but equifinal configurations of internal and external factors enable successful CDSS implementation,Cross-sectional design; context-specific to German primary care; self-reported data,Longitudinal studies; replication across healthcare systems,Lack of configurational evidence explaining CDSS implementation success
2,Yu Li; Chunmei Liu; Xiaojing Zhao,2021,Research on the Integration of College Students' Mental Health Education and Career Planning Based on Feature Fuzzy Clustering,ICISCAE 2021,ACM DL,10.1145/3482632.3482644,China,Mental Health Education,Mental Health,Feature Fuzzy Clustering,Clustering; Educational analytics,Clustering indices,Fuzzy clustering model integrates mental health education and career planning for students.,Qualitative: improved understanding of mental health factors,Fuzzy clustering supports integrated mental health and career planning,Limited dataset,Larger datasets,Limited fuzzy clustering studies
3,Usman Ahmed; Jerry Chun-Wei Lin; Gautam Srivastava,2022,Fuzzy Contrast Set Based Deep Attention Network for Lexical Analysis and Mental Health Treatment,ACM TALLIP,ACM DL,10.1145/3506701,Norway / Canada,Psychiatry,Mental Health,Fuzzy Contrast Sets,Deep Learning; Attention networks,ROC (0.82),Deep attention fuzzy model classifying mental health text into symptom categories for scalable digital mental health support.,AUC - 0.82,Hybrid fuzzy-DL improves mental health classification,Language variability,Multilingual expansion,Limited explainable fuzzy-DL models
4,Jiarong Lv; Jinghua Lv,2023,The Configuration Effect of Antecedents of Effective Use in Mobile Health: A Fuzzy-Set QCA Approach,ISAIMS 2023,ACM DL,10.1145/3644116.3644346,China,General Health,General Health,fsQCA,Effective Use Theory,Consistency; Coverage,Study analyzes factors influencing effective use of mobile health applications using fuzzy-set QCA.,Qualitative: three configurations identified for effective use,Multiple effective-use configurations identified,Cultural bias,Cross-cultural studies,Limited configurational mHealth research
5,Bhavesh Pandya; Dhaval Shah; Amir Pourabdollah; Ahmad Lotfi,2022,Developing and Comparing Cloud-based Fuzzy Systems for Monitoring Health Related Signals in Assistive Environments,PETRA 2022,ACM DL,10.1145/3529190.3534742,United Kingdom,Cardiology/Cardiovascular,Physical Health,Classical Fuzzy Logic,Cloud computing,Latency,Cloud-based fuzzy system for monitoring health signals like heart rate and SpO2 in real time.,AWS: 0.306s; Azure: 0.456s,AWS faster than Azure,Platform dependency,Multi-sensor scaling,Limited cloud fuzzy systems
6,N. K. Pareek; D. Soni; S. Degadwala,2023,Prediction of CKD Using Expert System Fuzzy Logic & AI,ICAISS 2023 (IEEE),IEEE Xplore,10.1109/ICAISS58487.2023.10250477,India,Nephrology (Chronic Kidney Disease - CKD),Physical Health,Fuzzy Logic (expert system FIS),"ML (DT, SVM, NB, RF); Expert knowledge",Not specified,"Expert system combining fuzzy logic and AI to predict CKD using clinical indicators, supporting early diagnosis.",Qualitative: improved prediction vs traditional methods,Hybrid system aims to improve CKD prediction accuracy and early intervention,Dataset details not reported; reproducibility limits,Multi-center validation; optimize hybrid fusion,Limited validated fuzzy+AI expert systems for CKD with detailed benchmarking
7,S. Ramayanam; T. Arunkumar; D. D. N. Ponkumar; S. PS; R. Selvakani; M. R. Arun,2025,Neuro-Fuzzy Machine Learning Model for Reliable Colorectal Cancer Screening,ICCCNP 2025 (IEEE),IEEE Xplore,10.1109/ICCCNP63914.2025.11233743,India,Oncology (Colorectal Cancer),Cancer and Neoplasms,ANFIS (Neuro-fuzzy),"ML baselines (DNN, RF, SVM)",Accuracy; Precision; F1-score,"Hybrid neuro-fuzzy model for colorectal cancer screening using clinical data, improving early detection and interpretability.",Accuracy: 93.4% (peak 95.4%); Precision: 92.1%; F1: 93.0%,"Achieved ~93.4% accuracy, 92.1% precision, 93.0% F1; peak 95.4%; up to 4.5% improvement",Dataset/source details incomplete here,Deploy/validate in broader settings,Limited interpretable neuro-fuzzy CRC screening with noise/split analysis
8,K. Arul,2025,Advancing Diabetes Risk Prediction Using ANFIS: a Fuzzy-Logic Approach for Improved Healthcare Decision Support,AIMLA 2025 (IEEE),IEEE Xplore,10.1109/AIMLA63829.2025.11040564,India,Endocrinology (Type 2 Diabetes),Physical Health,ANFIS,Gaussian MFs; neuro-fuzzy learning,Accuracy; F1-score,"ANFIS model integrates neural networks and fuzzy logic to predict diabetes using Pima dataset, improving accuracy and supporting personalized care.","Accuracy: 85.42% (train), 81.30% (test); F1: 78.44%, 74.72%","Train 85.42% acc; test 81.30% acc; F1 train 78.44%, test 74.72%",External validity limited by dataset,Multi-dataset validation; feature engineering,Need stronger external validation and baselines for diabetes neuro-fuzzy models
9,T. A. Tuly; T. A. Shafin; M. Z. Hasan; M. H. I. Bijoy; M. S. Arefin; M. S. Uddin,2025,A Mamdani Fuzzy Inference System for Comprehensive Diabetes Risk Evaluation,ECCE 2025 (IEEE),IEEE Xplore,10.1109/ECCE64574.2025.11013995,Bangladesh,Endocrinology (Diabetes),Physical Health,Mamdani FIS,Expert rules; linguistic variables,Not specified,Fuzzy inference system using clinical indicators to assess diabetes risk and support early diagnosis and management.,Qualitative: effective risk prediction,MFIS-based diabetes risk assessment emphasizing expert-rule uncertainty handling,Limited metric reporting; moderate dataset scope,Compare with ML baselines; external validation,Lack of standardized evaluation/benchmarking for MFIS diabetes DSS
10,A. T. Raja; R. R. Hwsein; S. K; R. Ramya; S. R,2025,Decision Support Model for Healthcare Applications using Bi-LSTM with Fuzzy Inference System,ICDSIS 2025 (IEEE),IEEE Xplore,10.1109/ICDSIS65355.2025.11070570,India / Iraq,General clinical decision support,General Health,Fuzzy sets + FIS,Deep Learning (Bi-LSTM); KNN imputation; min-max scaling,Not specified,"Hybrid model combining Bi-LSTM and fuzzy inference to analyze EHR data, capturing temporal patterns and handling uncertainty. Supports early diagnosis and personalized treatment in healthcare.",Qualitative: improved accuracy and interpretability,"Aims for interpretable, scalable DSS for sequential EHR data",Missing numeric performance details; dataset not disclosed,Report full benchmarks; multi-site validation,Need transparent benchmarking of DL+FIS DSS on real EHR with shared metrics
