Record_ID,Author(s),Year,Title,Journal / Conference,"Database (PubMed, MEDLINE, Scopus, WoS, etc.)",DOI / PMID,Country / Region of Study,"Health Informatics Domain (e.g., Clinical Decision Support, EHR, mHealth, Telemedicine)","Medical Specialty (e.g., Obstetrics, Oncology, Cardiology)","Type of Fuzzy Logic Used (FL, T2FL, IFS, PFS, HFS, etc.)","Hybrid Methods (ML, DL, MCDM, Optimization, etc.)",Purpose / Objective of Study,"Data Source (Clinical data, Sensor data, Survey, Public dataset)",Sample Size / Dataset Size,Data Preprocessing Techniques,Model / System Architecture,Decision-Making Technique,"Evaluation Metrics (Accuracy, AUC, RMSE, etc.)",Key Results / Findings,Explainability / Interpretability Consideration,"Validation Method (Cross-validation, Expert validation, Clinical validation)",Challenges / Limitations,Future Research Directions,Contribution to Health Informatics Practice,Fuzzy Taxonomy Category (Classical / Orthopair / Higher-order / Hybrid),Uncertainty Handling Mechanism,Role of MCDM in the Model,Method Category (Standalone / Hybrid),Reported Performance Trade-offs,Identified Research Gap Type
1,Piotrowski et al.,2023,Factors facilitating the implementation of a clinical decision support system in primary care practices: a fuzzy set qualitative comparative analysis,BMC Health Services Research,PubMed; MEDLINE; Scopus; WoS,10.1186/s12913-023-10156-9,Germany,Clinical Decision Support Systems (CDSS),Primary Care / Polypharmacy,fsQCA (Fuzzy-set QCA),Practice Change & Development (PCD) model; Implementation science,Identify combinations of internal and external organizational factors that enable successful CDSS implementation,Survey data (practice-level questionnaires),224 primary care practices,Calibration of Likert-scale responses into fuzzy set membership scores,PCD framework integrated with fsQCA configurational model,Set-theoretic configurational reasoning,Consistency; Coverage,Two distinct but equifinal configurations of internal and external factors enable successful CDSS implementation,"High (transparent, rule-based configurations)",Configurational validation using fsQCA solution metrics,Cross-sectional design; context-specific to German primary care; self-reported data,Longitudinal studies; replication across healthcare systems,Provides actionable guidance for tailoring CDSS implementation strategies,Orthopair,Fuzzy membership degrees capture partial presence/absence,Implicit,Hybrid,Multiple effective pathways vs limited generalizability,Lack of configurational evidence explaining CDSS implementation success
2,Yu Li; Chunmei Liu; Xiaojing Zhao,2021,Research on the Integration of College Students' Mental Health Education and Career Planning Based on Feature Fuzzy Clustering,ICISCAE 2021,ACM DL,10.1145/3482632.3482644,China,Mental Health Informatics / Educational Informatics,Mental Health Education,Feature Fuzzy Clustering,Clustering; Educational analytics,Integrate mental health education with career planning,Survey / educational data,Not specified,Feature extraction; normalization,Feature-based fuzzy clustering model,Cluster-based decision support,Clustering indices,Fuzzy clustering supports integrated mental health and career planning,Medium,Experimental evaluation,Limited dataset,Larger datasets,Supports student mental health guidance,Higher-order,Membership degrees,Implicit,Hybrid,Interpretability vs granularity,Limited fuzzy clustering studies
3,Usman Ahmed; Jerry Chun-Wei Lin; Gautam Srivastava,2022,Fuzzy Contrast Set Based Deep Attention Network for Lexical Analysis and Mental Health Treatment,ACM TALLIP,ACM DL,10.1145/3506701,Norway / Canada,Mental Health Informatics,Psychiatry,Fuzzy Contrast Sets,Deep Learning; Attention networks,Classify mental health symptoms from text,Online mental health text,Large corpus,Tokenization; embeddings,Deep attention + fuzzy contrast sets,Contrast-based inference,ROC (0.82),Hybrid fuzzy-DL improves mental health classification,Medium,Comparative ML evaluation,Language variability,Multilingual expansion,Supports digital mental health screening,Hybrid,Fuzzy membership + semantics,Implicit,Hybrid,Accuracy vs interpretability,Limited explainable fuzzy-DL models
4,Vinita Vinita; Suma Dawn,2022,Intuitionistic Fuzzy Representation of Plant Images captured using UAV for Measuring Mango Crop Health,IC3 2022,ACM DL,10.1145/3549206.3549324,India,Agricultural Health Informatics,Plant Disease Detection,Intuitionistic Fuzzy Sets,Image processing; segmentation,Crop disease detection using UAV images,UAV images,Not specified,Image preprocessing; segmentation,IFS-based segmentation model,Similarity-based classification,Segmentation accuracy,IFS achieves ~95–98% accuracy,High,Comparative experiments,Crop-specific,Other crops,Supports precision agriculture,Orthopair,Membership & non-membership,,Hybrid,Accuracy vs cost,Limited IFS UAV studies
5,Jiarong Lv; Jinghua Lv,2023,The Configuration Effect of Antecedents of Effective Use in Mobile Health: A Fuzzy-Set QCA Approach,ISAIMS 2023,ACM DL,10.1145/3644116.3644346,China,Mobile Health (mHealth),General Health,fsQCA,Effective Use Theory,Identify effective mHealth usage configurations,Survey,604,Fuzzy calibration,fsQCA model,Set-theoretic reasoning,Consistency; Coverage,Multiple effective-use configurations identified,High,Robustness testing,Cultural bias,Cross-cultural studies,Guides mHealth engagement,Orthopair,Set membership,Implicit,Hybrid,Multiple pathways vs generalization,Limited configurational mHealth research
6,Bai Wenwen; Jie Yongsheng; Jing Shude; Zhu Chaobin,2021,Study on Health Level Evaluation of Higher Education Based on AHP-NBM Fuzzy Comprehensive Evaluation Model,ICFET 2021,ACM DL,10.1145/3473141.3473230,China,Health Evaluation Systems,Public Policy / Education,Fuzzy Comprehensive Evaluation,AHP; Regression,Evaluate higher education health,Public data,7 countries,Normalization,AHP-NBM-Fuzzy model,Weighted aggregation,Composite scores,Stable national rankings,High,Sensitivity analysis,Indicator subjectivity,Policy simulation,Supports policy decisions,Hybrid,Membership aggregation,Core,Hybrid,Breadth vs depth,Lack of unified frameworks
7,Bhavesh Pandya; Dhaval Shah; Amir Pourabdollah; Ahmad Lotfi,2022,Developing and Comparing Cloud-based Fuzzy Systems for Monitoring Health Related Signals in Assistive Environments,PETRA 2022,ACM DL,10.1145/3529190.3534742,United Kingdom,Remote Health Monitoring,Cardiology,Classical Fuzzy Logic,Cloud computing,Compare cloud fuzzy monitoring,Sensor data,Streams,Normalization,Fuzzy-as-a-Service,Rule-based inference,Latency,AWS faster than Azure,High,Benchmarking,Platform dependency,Multi-sensor scaling,Scalable monitoring,Classical,Linguistic variables,,Standalone,Speed vs cost,Limited cloud fuzzy systems
8,N. K. Pareek; D. Soni; S. Degadwala,2023,Prediction of CKD Using Expert System Fuzzy Logic & AI,ICAISS 2023 (IEEE),IEEE Xplore,10.1109/ICAISS58487.2023.10250477,India,Clinical Decision Support / Disease Prediction,Nephrology (CKD),Fuzzy Logic (expert system FIS),"ML (DT, SVM, NB, RF); Expert knowledge","Build CKD prediction model combining nephrologist expertise, fuzzy logic, and AI",Clinical & laboratory indicators (patient records),Not specified (“large dataset”),Not specified,Expert system integrating FIS + ML module,Rule-based fuzzy inference + ML classification,Not specified,Hybrid system aims to improve CKD prediction accuracy and early intervention,Medium–High,Comparative evaluation stated,Dataset details not reported; reproducibility limits,Multi-center validation; optimize hybrid fusion,Supports early CKD prediction and decision support,Hybrid,Fuzzy membership handles ambiguity/imprecision,,Hybrid,Higher accuracy vs increased complexity,Limited validated fuzzy+AI expert systems for CKD with detailed benchmarking
9,S. Ramayanam; T. Arunkumar; D. D. N. Ponkumar; S. PS; R. Selvakani; M. R. Arun,2025,Neuro-Fuzzy Machine Learning Model for Reliable Colorectal Cancer Screening,ICCCNP 2025 (IEEE),IEEE Xplore,10.1109/ICCCNP63914.2025.11233743,India,Clinical Decision Support / Screening,Oncology (Colorectal Cancer),ANFIS (Neuro-fuzzy),"ML baselines (DNN, RF, SVM)",Improve reliability of CRC screening using neuro-fuzzy ML,Public CRC datasets (clinical & biochemical),Not specified,Not specified,ANFIS-based NFML model,Neuro-fuzzy inference,Accuracy; Precision; F1-score,"Achieved ~93.4% accuracy, 92.1% precision, 93.0% F1; peak 95.4%; up to 4.5% improvement",High,Train/test across splits; robustness to noise stated,Dataset/source details incomplete here,Deploy/validate in broader settings,"Interpretable, accurate CRC screening support",Hybrid,Fuzzy rules + ANN learning manage uncertainty,,Hybrid,Accuracy/robustness vs complexity,Limited interpretable neuro-fuzzy CRC screening with noise/split analysis
10,K. Arul,2025,Advancing Diabetes Risk Prediction Using ANFIS: a Fuzzy-Logic Approach for Improved Healthcare Decision Support,AIMLA 2025 (IEEE),IEEE Xplore,10.1109/AIMLA63829.2025.11040564,Not specified,Clinical Decision Support / Risk Prediction,Endocrinology (Type 2 Diabetes),ANFIS,Gaussian MFs; neuro-fuzzy learning,Predict Type 2 diabetes risk using ANFIS,Public dataset (Pima Indians Diabetes Database),Not specified (Pima dataset),Not specified,ANFIS with Gaussian membership functions,Neuro-fuzzy inference,Accuracy; F1-score,"Train 85.42% acc; test 81.30% acc; F1 train 78.44%, test 74.72%",Medium–High,Train/test evaluation,External validity limited by dataset,Multi-dataset validation; feature engineering,Supports early diabetes risk prediction,Hybrid,Gaussian membership functions manage uncertainty,,Hybrid,Interpretability vs accuracy ceiling,Need stronger external validation and baselines for diabetes neuro-fuzzy models
